final_id,original_image_path,final_image_path,image_name,timestamp_sec,substrate,rocks_present,cobbles_present,algae_status,waste_status,fauna_status,structure_status,rov_equipment_status,rov_equipment_type,rov_equipment_present,water_visibility,inspection_importance,uncertainty,short_description,keep_reason
1,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0001_t00013.0.jpg,outputs/final_reports/video7/final_frames/final_0001_t00013.0.jpg,frame_0001_t00013.0.jpg,13.0,mixed,True,True,none,none,none,none,none,none,False,poor,medium,medium,Underwater seabed with scattered rocks and cobbles in murky water.,first_frame
2,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0002_t00059.0.jpg,outputs/final_reports/video7/final_frames/final_0002_t00059.0.jpg,frame_0002_t00059.0.jpg,59.0,mixed,True,True,possible,possible,possible,possible,none,none,False,medium,medium,medium,"The seabed contains scattered rocks and cobbles with some algae-covered surfaces and visible waste-like objects, while small fish-like forms are present in the water column.",important_status
3,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0003_t00153.0.jpg,outputs/final_reports/video7/final_frames/final_0003_t00153.0.jpg,frame_0003_t00153.0.jpg,153.0,sand,False,False,none,none,possible,none,none,none,False,poor,medium,medium,The seabed is sandy with scattered small particles and a faintly visible dark object in the mid-water.,important_status
4,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0004_t00160.0.jpg,outputs/final_reports/video7/final_frames/final_0004_t00160.0.jpg,frame_0004_t00160.0.jpg,160.0,mixed,False,False,possible,clear,none,none,none,none,False,medium,medium,medium,An anthropogenic object covered in sediment rests on a mixed seabed.,important_status
5,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0005_t00164.0.jpg,outputs/final_reports/video7/final_frames/final_0005_t00164.0.jpg,frame_0005_t00164.0.jpg,164.0,sand,False,False,none,none,none,none,none,none,False,medium,medium,medium,"A sandy seabed with scattered small particles and faint suspended matter, with moderate visibility.",semantic_change
6,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0006_t00179.0.jpg,outputs/final_reports/video7/final_frames/final_0006_t00179.0.jpg,frame_0006_t00179.0.jpg,179.0,mixed,True,True,possible,clear,possible,none,clear,tether,True,medium,medium,medium,"An underwater seabed with rocks, cobbles, and a coiled tether, with some particles floating in the water.",rov_equipment_visible
7,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0007_t00218.0.jpg,outputs/final_reports/video7/final_frames/final_0007_t00218.0.jpg,frame_0007_t00218.0.jpg,218.0,mixed,True,True,none,none,possible,none,none,none,False,medium,medium,medium,"The seabed is sandy with scattered rocks and cobbles, and faint movement suggests possible small fauna.",important_status
8,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0008_t00276.0.jpg,outputs/final_reports/video7/final_frames/final_0008_t00276.0.jpg,frame_0008_t00276.0.jpg,276.0,mixed,True,True,possible,none,possible,none,none,none,False,medium,medium,medium,"Underwater view of a rocky seabed with scattered small particles and faint movement, indicating low visibility.",important_status
9,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0009_t00301.0.jpg,outputs/final_reports/video7/final_frames/final_0009_t00301.0.jpg,frame_0009_t00301.0.jpg,301.0,mixed,True,True,none,none,none,none,none,none,False,poor,medium,medium,Underwater seabed with scattered rocks and cobbles in murky water.,semantic_change
10,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0010_t00345.0.jpg,outputs/final_reports/video7/final_frames/final_0010_t00345.0.jpg,frame_0010_t00345.0.jpg,345.0,mixed,True,True,possible,none,possible,none,none,none,False,poor,medium,medium,"An underwater view of a rocky seabed with a large boulder and scattered smaller rocks, with poor visibility and faint motion in the water.",important_status
11,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0011_t00375.0.jpg,outputs/final_reports/video7/final_frames/final_0011_t00375.0.jpg,frame_0011_t00375.0.jpg,375.0,mixed,True,True,none,none,none,none,none,none,False,medium,medium,low,"Underwater view of a rocky seabed with mixed sediment and stones, with no visible algae, waste, or fauna.",semantic_change
12,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0012_t00379.0.jpg,outputs/final_reports/video7/final_frames/final_0012_t00379.0.jpg,frame_0012_t00379.0.jpg,379.0,mixed,True,True,none,none,possible,none,none,none,False,poor,medium,high,"The seabed is covered in sediment and rocks with poor visibility, and a faint, ambiguous object is visible in the water column.",important_status
13,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0013_t00392.0.jpg,outputs/final_reports/video7/final_frames/final_0013_t00392.0.jpg,frame_0013_t00392.0.jpg,392.0,mixed,True,True,possible,none,possible,clear,none,none,False,poor,high,medium,"Two large, rusted, cylindrical structures lie on a sandy and rocky seabed with poor visibility and scattered particles.",important_status
14,outputs/keyframes_video7/2025-05-13_11-25-23_DEEP_TREKKER_SD/frame_0014_t00415.0.jpg,outputs/final_reports/video7/final_frames/final_0014_t00415.0.jpg,frame_0014_t00415.0.jpg,415.0,mixed,True,True,none,none,none,none,none,none,False,medium,medium,medium,"Underwater seabed with mixed sediment and rocks, moderate visibility, no obvious waste or structures.",semantic_change
